year,sightings
1958,1
1960,1
1963,1
1967,1
1968,1
1972,3
1974,2
1975,6
1976,3
1977,1
1978,2
1979,1
1980,2
1981,1
1982,2
1983,4
1984,2
1986,3
1987,3
1988,4
1990,4
1991,2
1992,5
1993,3
1994,2
1995,4
1996,11
1997,10
1998,17
1999,24
2000,28
2001,41
2002,52
2003,61
2004,45
2005,55
2006,48
2007,29
2008,26
2009,17
2010,18
2011,15
2012,25
2013,38
2014,15
