COMPONENT,Site Name,Joint Base,State Terr,COUNTRY,Oper Stat,PERIMETER,AREA,Shape_Leng,Shape_Area,latitude,longitude
Army Guard,NG Camp Withycombe Clackamas,N/A,Oregon,United States,Active,2.04114855,0.12609311,4905.092931,662649.505,45.41244761,-122.5579613
Army Guard,NG TS AFRC Los Alamitos,N/A,California,United States,Active,6.71506292,2.06314156,13408.57288,7756557.537,33.79121129,-118.0522268
Army Guard,NG MTA Limestone Hills,N/A,Montana,United States,Active,29.45076375,33.30838897,70422.01925,180512631.5,46.27407622,-111.5798169
Army Guard,NG MTC-H Camp Grayling,N/A,Michigan,United States,Active,283.5816979,228.7922057,661581.1917,1172455228,44.68747168,-84.72988299
Army Guard,NG Kansas,N/A,Kansas,United States,Active,1.5430536,0.088286,3277.790208,379349.008,39.02016811,-95.68323944
Navy Active,Waipahu,Joint Base Pearl Harbor - Hickam,Hawaii,United States,Active,12.9657659,2.39339867,22540.55796,7182590.211,21.36202937,-157.9880023
Navy Active,Dredgers Key-Sigsbee,N/A,Florida,United States,Active,4.61936781,0.56045205,8290.791378,1762967.867,24.57856743,-81.77359654
Navy Active,NAVBASE San Diego CA,N/A,California,United States,Active,7.43617433,1.11234671,14482.66225,4077590.358,32.67576467,-117.1227487
Navy Active,Finegayan,Joint Region Marianas,Guam,Guam,Active,10.0677551,3.76695892,16358.00963,10387893.38,13.58361441,144.8442947
MC Active,Bridgeport,N/A,California,United States,Active,64.03226584,96.71498927,135038.3121,408193494.5,38.37445327,-119.5422775
AF Active,Haarp Research Station,Joint Base Elmendorf - Richardson,Alaska,United States,Active,13.17772301,8.47427815,45266.80806,101921288.2,62.40835686,-145.1550048
Army Active,Pueblo Chemical Depot,N/A,Colorado,United States,Active,25.51299597,35.66381945,53914.19727,150285320.5,38.31714892,-104.3324209
Army Active,Yuma Proving Ground,N/A,Arizona,United States,Active,267.5264085,1307.98611,525746.7313,4841127730,33.105321,-114.2136058
Army Active,NTC and Fort Irwin,N/A,California,United States,Active,168.383418,1180.204962,343431.2867,4607056568,35.37432686,-116.6333883
Army Active,Hawthorne Army Depot,N/A,Nevada,United States,Active,152.4509978,228.2433508,323910.0957,967745616.7,38.54115186,-118.6547816
Army Active,Lake City AAP,N/A,Missouri,United States,Active,11.02776385,6.76156222,23772.46372,29115999.46,39.09685049,-94.25015448
MC Active,Point of Marsh Target,N/A,North Carolina,United States,Active,50.4921902,18.61748255,101991.2938,72045695.39,35.01103946,-76.45807956
MC Active,MCLB Barstow,N/A,California,United States,Active,13.30399099,5.91717573,26967.78039,22814673.37,34.85954189,-116.9445331
Navy Active,NAS Oceana VA,N/A,Virginia,United States,Active,14.05080616,8.29236824,29097.4057,33572660.96,36.81377641,-76.03097447
Navy Active,Tenjo Vista,Joint Region Marianas,Guam,Guam,Active,2.57728448,0.36024833,4179.756094,992196.0512,13.43300591,144.6875145
AF Active,Offut AFB,N/A,Nebraska,United States,Active,11.89015959,3.27800877,26197.02943,14972870.17,41.11800055,-95.90643502
AF Active,Cavalier Asn,N/A,North Dakota,United States,Active,2.79210683,0.41544057,7053.001535,2470410.136,48.72453093,-97.90307016
AF Active,New Boston Air Station,N/A,New Hampshire,United States,Active,9.25955043,4.51049368,21056.42516,21806815.23,42.93717049,-71.64125304
AF Guard,Portland IAP ANG,N/A,Oregon,United States,Active,2.77056327,0.3463822,6594.520441,1830992.106,45.57837948,-122.5955219
AF Active,Scott AFB,N/A,Illinois,United States,Active,13.67213131,4.53168279,29196.77373,19214358.97,38.54148181,-89.85370366
Army Guard,NG Camp Gruber,N/A,Oklahoma,United States,Active,38.68109414,52.31582472,78195.79931,205894578.7,35.69820041,-95.16726656
Army Guard,NG Mead TS/FMS 06/Utes 02,N/A,Nebraska,United States,Active,6.08187224,1.86137173,13430.81875,8521607.208,41.19352956,-96.43845368
Army Guard,NG Greenlief TS/UTES 01,N/A,Nebraska,United States,Active,10.01845917,5.14415871,21699.17602,23097912.75,40.54592514,-98.27562086
Army Guard,NG Silver Bell Army Heliport,N/A,Arizona,United States,Active,2.14916014,0.25022128,4234.370287,914128.1491,32.52287183,-111.3334618
Army Guard,NG Camp Villere,N/A,Louisiana,United States,Active,6.40481827,2.3082715,12186.481,8050172.098,30.32335312,-89.80852563
Army Guard,NG New Castle Readiness Center/FMS 9,N/A,Pennsylvania,United States,Active,0.37172742,0.0092156,817.8890364,41918.21517,40.97939827,-80.32478704
Army Guard,NG Saginaw,N/A,Texas,United States,Active,2.89218953,0.2304504,5656.132496,848152.2596,32.85509256,-97.35036233
Army Guard,NG Bremerton,N/A,Washington,United States,Active,1.4761594,0.12644353,3587.799231,718532.8444,47.55270964,-122.6813222
Navy Active,Target B-17,N/A,Nevada,United States,Active,38.12624532,85.3415596,81288.1746,368623145.6,39.20584468,-118.2321777
Navy Active,Camp Morena,N/A,California,United States,Active,1.32714872,0.09427915,2583.404324,345879.3159,32.71166347,-116.5185549
Navy Active,Upper Yard Annapolis,N/A,Maryland,United States,Active,2.80787407,0.25335599,6010.044836,1087668.264,38.9886656,-76.49434845
Navy Active,Yankee Target Range,N/A,Texas,United States,Active,8.327782,4.60186446,15592.96035,15415862.5,28.24588717,-98.7242101
Army Active,Twin Cities AAP,N/A,Minnesota,United States,Inactive,5.44869563,0.26133082,12750.07359,1358315.986,45.09815208,-93.17423579
Army Active,Presidio of Monterey,N/A,California,United States,Active,4.35133598,0.61037804,9080.019355,2457793.611,36.60325347,-121.9121053
Army Reserve,Fort Buchanan,N/A,Puerto Rico,Puerto Rico,Active,7.45095832,1.15180283,12589.59475,3331642.406,18.41279201,-66.12147949
Navy Active,Fire Fighters School,N/A,Virginia,United States,Active,0.57708348,0.01915213,1204.220262,77756.42746,36.92152401,-76.32272355
Navy Active,Magazine Reservoir Naval Magazine,Joint Region Marianas,Guam,Guam,Active,0.49320691,0.01601081,802.0905879,44081.3963,13.39032601,144.6863076
AF Active,Arnold,N/A,Tennessee,United States,Active,70.91531259,60.76822985,144104.9672,237197209.5,35.36463921,-86.07967167
AF Active,Eglin AFB Site 2 Santa Rosa Island,N/A,Florida,United States,Active,33.25063043,4.97793308,64202.3793,17385730.88,30.39446079,-86.74274189
AF Active,Poinsett Range,N/A,South Carolina,United States,Active,22.01892042,19.57179064,43451.94816,73590120,33.79612549,-80.48179602
AF Active,Whiteman AFB,N/A,Missouri,United States,Active,17.77861534,8.20858883,37665.75059,34986404.7,38.72991151,-93.55538452
AF Reserve,Niagara Falls,N/A,New York,United States,Active,7.01311971,0.98617091,16058.4848,4795074.597,43.11322121,-78.95005717
AF Active,Cusick Survival Training Site,N/A,Washington,United States,Active,1.93270688,0.11752687,4833.901905,691401.4947,48.45152096,-117.3738503
AF Guard,Truax ANGB,N/A,Wisconsin,United States,Active,2.78801687,0.23109196,6320.820529,1124278.103,43.1306561,-89.33610643
AF Guard,Ellington Field,N/A,Texas,United States,Active,3.34216296,0.33317385,6294.265626,1145693.92,29.61608014,-95.17048141
AF Guard,Lincoln Map,N/A,Nebraska,United States,Active,2.00348056,0.17831156,4396.232584,807718.9653,40.84102062,-96.75387218
AF Active,JBSA Sam Houston,Joint Base San Antonio,Texas,United States,Active,16.5269834,4.24911492,31289.33716,14566909.12,29.45953084,-98.44071382
Army Guard,NG McConnelsville Training Site,N/A,Ohio,United States,Active,5.21173618,0.70097498,11178.04193,3067306.544,39.66143901,-81.83949829
Army Guard,NG St Cloud AASF,N/A,Minnesota,United States,Active,1.13403848,0.08370848,2696.371945,441871.7097,45.53907665,-94.05578922
Army Guard,NG Camp Pendleton SMR,N/A,Virginia,United States,Active,4.09268468,0.47905218,8507.765341,1939620.403,36.81613995,-75.97915244
Army Guard,NG Jackson Airport Armory,N/A,Tennessee,United States,Active,1.2570883,0.10038864,2552.167507,394110.6269,35.59814624,-88.91295891
Navy Active,ALF Cabaniss,N/A,Texas,United States,Active,7.43584124,1.48044362,13796.03462,4910061.127,27.70133592,-97.43634926
Navy Active,San Nicolas Island,N/A,California,United States,Active,24.33274484,27.21652316,48425.20593,101057345.3,33.24796094,-119.506113
Navy Active,NAS Whiting Field Milton FL,N/A,Florida,United States,Active,23.80991105,7.13505673,45642.39156,25082467.64,30.71374759,-87.02018845
Army Active,Fort Lee,N/A,Virginia,United States,Active,23.18682471,8.85401196,48133.85363,36256621.26,37.24943962,-77.33472772
Army Active,Us Army Joint Sys Mfg CtrLima,N/A,Ohio,United States,Active,4.16320377,0.90958295,9159.268648,4102722.014,40.6996402,-84.1328894
Army Reserve,Grand Prairie Reserve Complex,N/A,Texas,United States,Active,1.48183545,0.11659727,2928.628759,428029.1504,32.73995839,-96.95644036
Army Active,Kipapa Ammo Storage Site,N/A,Hawaii,United States,Inactive,7.36203995,0.63257837,12805.30295,1900360.785,21.43962744,-158.0031099
Navy Active,NAVSTA Norfolk VA,N/A,Virginia,United States,Active,19.53021724,6.3444268,40552.415,25772712.6,36.943308,-76.30151369
Navy Active,Webster Field,N/A,Maryland,United States,Active,9.33448735,1.51343387,19664.48355,6347841.435,38.14584164,-76.42789099
AF Active,Point Arena Air Force Station,N/A,California,United States,Inactive,2.80732403,0.12517774,5992.812411,535942.2218,38.89184004,-123.5465791
AF Reserve,Dobbins ARB,N/A,Georgia,United States,Active,10.89297169,3.78261368,21685.11351,14262728.13,33.91740865,-84.51923622
AF Active,Columbus AFB,N/A,Mississippi,United States,Active,11.96089694,6.8601769,23802.61459,25702325.68,33.64131209,-88.45111875
AF Guard,Bangor IAP,N/A,Maine,United States,Active,4.81304066,0.42377862,11255.23045,2181404.001,44.81756738,-68.82980138
AF Guard,McGhee Tyson Airport,N/A,Tennessee,United States,Active,4.81290706,0.56671413,9799.975253,2236667.866,35.81149394,-84.00367095
AF Guard,Gen Mitchell IAP,N/A,Wisconsin,United States,Active,1.59741204,0.10270726,3594.218991,496622.1532,42.94104562,-87.88798428
AF Guard,W K Kellogg,N/A,Michigan,United States,Active,3.00675032,0.21872001,6783.932166,1036678.605,42.31526077,-85.25176502
Army Guard,NG Stones Ranch Military Res,N/A,Connecticut,United States,Active,14.0614345,2.91240409,30936.55596,13403129.67,41.36511524,-72.27198833
Army Guard,NG Jackson Bks,N/A,Louisiana,United States,Active,4.08727224,0.18652636,7696.519993,645805.9706,29.96108203,-90.00546004
Army Guard,NG Shelbyville,N/A,Indiana,United States,Active,1.17582278,0.07214745,2558.248086,314952.0399,39.57895964,-85.81102365
Army Guard,NG Camp Ravenna Joint Military Training Center,N/A,Ohio,United States,Active,27.98837304,33.88266775,62734.74882,155136449.8,41.19717871,-81.08483432
Army Guard,NG Rochester NGA and OMS 2,N/A,Minnesota,United States,Active,0.57179585,0.01782066,1336.324741,89210.46103,43.99695337,-92.43166756
Army Guard,NG Youngstown Tng Site,N/A,New York,United States,Active,4.61779927,1.34071889,10601.45543,6545360.213,43.23749901,-78.97269139
Army Guard,NG Ethan Allen AFB MTA,N/A,Vermont,United States,Active,4.73495996,1.02652087,11014.13051,5228568.991,44.50989021,-73.16355648
Army Guard,NG Camp Rapid,N/A,South Dakota,United States,Active,1.45033491,0.12937848,3373.68494,649479.3251,44.0801387,-103.2669579
Navy Active,Kamokala Ridge,N/A,Hawaii,United States,Active,1.75419217,0.13891071,3069.379362,420764.7847,22.03902607,-159.754233
Navy Active,JBPHH Pearl Harbor HI,Joint Base Pearl Harbor - Hickam,Hawaii,United States,Active,26.44019343,5.53076205,45956.99901,16592072.73,21.33656576,-157.947911
Navy Active,Vieques West PR,N/A,Puerto Rico,Puerto Rico,Active,3.35333314,0.12581264,5636.646793,362611.7123,18.0962544,-65.51225158
Navy Active,Trumbo Point Annex,N/A,Florida,United States,Active,4.09484789,0.20399029,7344.907962,641536.429,24.56468796,-81.79121673
Navy Active,Santa Cruz Island,N/A,California,United States,Active,0.84067605,0.01240696,1695.376715,46866.30833,33.99495718,-119.6334968
Navy Active,Tumon Tank Farm,Joint Region Marianas,Guam,Guam,Active,1.03263444,0.03768804,1697.961132,103873.0862,13.51795139,144.8110962
Army Active,Umatilla Chemical Depot,Joint Base Lewis - McChord,Oregon,United States,Active,22.91816047,30.99643263,54808.14151,165395357.6,45.84264582,-119.4376557
Army Active,Defense Supply Center Columbus,N/A,Ohio,United States,Active,3.93089208,0.90371811,8622.242175,3990832.414,39.97961009,-82.89852585
Army Active,US Army Garrison Selfridge,N/A,Michigan,United States,Active,1.59094962,0.16074377,3572.721169,770292.0815,42.66096595,-82.81287449
Army Active,Fort Wingate Depot Activity,N/A,New Mexico,United States,Inactive,22.06779046,12.90102004,44885.73321,50477869.22,35.46239862,-108.5982422
Army Active,Pupukea Paalaa Uka Mil Road,N/A,Hawaii,United States,Active,19.34411399,20.71375137,33196.82867,61045877.44,19.96924286,-155.7196588
MC Active,MCRD Beaufort,N/A,South Carolina,United States,Active,21.15272895,12.92052491,41205.23023,47012138.93,32.33757947,-80.69617786
MC Active,Marine Corps Museum,N/A,Virginia,United States,Active,1.77670081,0.15763888,3779.601479,668000.6452,38.52036118,-77.36472719
Navy Active,Det Phil Pny Annex,N/A,Pennsylvania,United States,Active,6.95737755,0.41201864,15106.61975,1814906.683,39.89175502,-75.17874388
Navy Active,Naval Station Newport RI,N/A,Rhode Island,United States,Active,27.72772266,1.43731762,61098.49732,6649185.975,41.53527832,-71.3096355
Navy Active,Sasa Valley,Joint Region Marianas,Guam,Guam,Active,4.98917762,0.6576552,8093.186683,1811549.309,13.44890976,144.6996066
AF Active,Utah Test and Training Range South UT,N/A,Utah,United States,Active,156.9418559,900.7713739,345234.888,4038737671,40.49700867,-113.5632578
AF Active,Hill AFB,N/A,Utah,United States,Active,17.92093484,10.33916226,39473.67159,47240351.47,41.12808238,-111.9912471
AF Reserve,Youngstown,N/A,Ohio,United States,Active,5.60290996,0.49828417,12414.41393,2286374.397,41.2673838,-80.67868121
AF Active,Travis AFB,N/A,California,United States,Active,17.1767098,7.82631612,36365.81788,32932334.35,38.26453149,-121.9427975
AF Active,The Farish Memorial Recreational Annex,N/A,Colorado,United States,Active,6.19944523,1.05409456,13152.55446,4526616.593,38.99915968,-104.9996443
AF Reserve,Grissom ARB,N/A,Indiana,United States,Active,13.56951794,2.16776358,29654.23258,9764837.385,40.65397589,-86.1518428
AF Active,Pillar Point AFS,N/A,California,United States,Active,1.93371248,0.09906553,4012.294442,408351.686,37.49894752,-122.4980334
AF Active,Maxwell AFB,N/A,Alabama,United States,Active,9.61208808,3.63838956,18795.07377,13251616.26,32.38300765,-86.35631132
AF Active,Eielson AFB,N/A,Alaska,United States,Active,41.45166079,31.00252335,151908.8677,436963305.2,64.67410868,-147.0602142
AF Guard,Francis S Gabreski Airport,N/A,New York,United States,Active,1.55114703,0.12961243,3398.57358,587043.1379,40.83698897,-72.64341325
AF Guard,Quonset State Airport,N/A,Rhode Island,United States,Active,2.24476347,0.16253112,4979.090761,753312.314,41.59692994,-71.41849616
Army Guard,NG Beightler Armory,N/A,Ohio,United States,Active,0.65483308,0.02723424,1414.426749,120654.7514,40.08921433,-83.06744289
Army Guard,NG Elkins AFRC,N/A,West Virginia,United States,Active,2.17287439,0.2282298,4654.371252,978864.3635,38.9545041,-79.97911541
Army Guard,NG Anthony Cometa Complex,N/A,Nevada,United States,Active,1.66111534,0.09003115,3375.75922,357166.551,36.01738196,-115.2006745
Army Guard,NG TS Camp Johnson,N/A,Vermont,United States,Active,1.53965644,0.0958901,3599.697169,488243.628,44.49963646,-73.16462981
Navy Active,Amphib Base Coronado East,N/A,California,United States,Active,5.52341556,0.77466416,10788.25169,2839230.971,32.66788692,-117.1570599
Navy Active,Warner Springs Rts,N/A,California,United States,Active,23.25084967,9.52447707,46074.35196,35439349.95,33.3401618,-116.681385
Army Active,Carlisle Barracks,N/A,Pennsylvania,United States,Active,5.1381422,0.65458851,11208.54861,2910024.164,40.20736366,-77.16880374
AF Active,Peterson AFB,N/A,Colorado,United States,Active,12.59961731,2.15761494,26727.38548,9219933.037,38.82286771,-104.6960621
Army Active,Tooele Army Depot,N/A,Utah,United States,Active,35.20739677,39.68713188,77403.85116,178100656.8,40.52704283,-112.4113577
Army Active,Fort Knox,N/A,Kentucky,United States,Active,85.35675698,170.0075073,179278.3449,708471005.5,37.90701739,-85.88312253
Army Active,Fort Leonard Wood,N/A,Missouri,United States,Active,51.59341215,96.41521477,108216.9781,399621817.7,37.70548756,-92.15712524
Army Active,Fort Rucker AL,N/A,Alabama,United States,Active,60.30741551,90.88878916,116795.2562,324133719.8,31.40407901,-85.74738942
Army Active,Detroit Arsenal,N/A,Michigan,United States,Active,2.55583336,0.28746763,5726.157496,1370399.183,42.49732851,-83.04133412
Army Active,Fort Greely,N/A,Alaska,United States,Active,16.6596204,10.67476022,60174.01297,142943258.1,63.96677809,-145.7151137
Army Active,Jefferson Proving Ground,N/A,Indiana,United States,Inactive,66.58660775,82.48045269,141187.6455,353714089.2,38.95041849,-85.41763126
Army Active,Riverbank AAP,N/A,California,United States,Inactive,3.18810746,0.24811282,6575.668793,1028810.934,37.72122753,-120.919493
Navy Active,NSY Portsmouth,N/A,Maine,United States,Active,7.00352791,0.5000837,15984.67245,2429054.633,43.08134858,-70.73333512
AF Active,Cape Cod Air Station,N/A,Massachusetts,United States,Active,3.71654684,0.15131146,8203.927611,704708.3156,41.75366424,-70.53912487
AF Reserve,Norwalk 2,N/A,California,United States,Active,1.09520406,0.07821894,2189.316184,294766.5868,33.89318495,-118.070171
AF Guard,Atlantic City IAP,N/A,New Jersey,United States,Active,3.86036065,0.46246532,8301.709248,2011326.709,39.44818619,-74.58140315
AF Guard,Yeager Airport,N/A,West Virginia,United States,Active,2.20015732,0.19296441,4624.992243,814393.0683,38.37319442,-81.58951941
Army Guard,NG Atlanta - Confederate Ave,N/A,Georgia,United States,Active,2.30970448,0.10686207,4565.869751,401116.9213,33.72223214,-84.35888786
Army Guard,NG Collegeville FMS 4,N/A,Pennsylvania,United States,Active,1.17466434,0.08080989,2568.912312,359325.6372,40.21461577,-75.42841948
Army Guard,NG Buckeye TS,N/A,Arizona,United States,Active,8.93831033,2.34453102,17485.36825,8748463.498,33.46455003,-112.6017605
Army Guard,NG Oglethorpe Armory,N/A,Georgia,United States,Active,1.11264814,0.05061777,2218.376948,189540.524,33.6173832,-84.30992374
Army Guard,NG River Road Training Site,N/A,Delaware,United States,Active,2.33556003,0.29793851,5025.686165,1302666.184,39.63343036,-75.60706969
Army Guard,NG Edgemeade TS Mtn Home,N/A,Idaho,United States,Active,2.18142403,0.23233542,4980.027743,1130827.176,43.14424436,-115.6525425
Army Guard,NG Norman CSMS,N/A,Oklahoma,United States,Active,1.28003708,0.0637749,2589.382925,248321.7591,35.26431973,-97.48005729
Army Guard,NG Westminster Training Site,N/A,Vermont,United States,Active,1.39748781,0.07495596,3194.113527,364137.1567,43.08588272,-72.45131202
Army Guard,NG VTS Catoosa,N/A,Georgia,United States,Active,9.74430427,2.54628306,19560.12499,9834557.067,34.93121565,-85.05906108
Army Guard,NG VTS Smyrna,N/A,Tennessee,United States,Active,7.24220938,1.33363901,14854.88225,5290758.79,36.01809859,-86.50361203
Army Guard,NG Saint George/FMS 5B,N/A,Utah,United States,Active,1.45217811,0.10754967,2990.090649,437926.707,37.03376818,-113.5471409
Navy Active,NAF El Centro,N/A,California,United States,Active,11.84536412,4.18521119,23393.50494,15393093.5,32.82539368,-115.6681532
Navy Active,OLF Whitehouse,N/A,Florida,United States,Active,26.36286576,7.75551929,50314.86582,27065636.46,30.35623176,-81.87111318
Navy Active,Naval Support Activity Orlando,N/A,Florida,United States,Active,1.23958402,0.06458218,2322.477489,217717.9009,28.58416776,-81.19676244
AF Active,George AFB,N/A,California,United States,Inactive,17.73438578,8.2408062,35504.70066,31565654.46,34.58521559,-117.3732495
Navy Active,NSA South Potomac,N/A,Virginia,United States,Active,8.65673826,4.17467402,18224.00315,17602829.41,38.33985846,-77.03255468
AF Active,Grand Forks AFB,N/A,North Dakota,United States,Active,17.0289211,8.25769962,41915.49058,47651446.65,47.95456956,-97.39169327
AF Active,Ozol Defense Fuel Support Point,N/A,California,United States,Active,2.4318231,0.08125435,5104.412764,339699.4788,38.02590391,-122.1670256
Army Active,Anniston Army Depot,N/A,Alabama,United States,Active,23.96588335,24.34134505,47656.47815,91222066.36,33.65313364,-85.96923682
Army Active,Fort Carson,N/A,Colorado,United States,Active,70.91682378,215.5272868,149422.0534,914283419.8,38.5587412,-104.8267685
Army Active,Radford AAP,N/A,Virginia,United States,Active,20.31060637,6.29488563,42472.85023,25734942.88,37.18707746,-80.54248736
MC Active,Choc Mt Air Gnry Rng,N/A,California,United States,Active,173.0082045,716.1630469,343531.1247,2663060112,33.31194955,-115.3092392
MC Active,Pearl City Annex,N/A,Hawaii,United States,Active,0.90949865,0.04127455,1581.235362,123900.8612,21.38354437,-157.9713795
Navy Active,Yorktown Fuel Depot,N/A,Virginia,United States,Active,1.9129514,0.22694957,3977.684374,928523.9341,37.21590797,-76.48604196
Navy Active,Waterfront,N/A,New Jersey,United States,Active,2.72277215,0.15382455,5864.677177,688166.8244,40.42204417,-74.07043539
AF Active,Seymour Johnson AFB,N/A,North Carolina,United States,Active,12.63219333,5.04956187,25730.92683,19701896.93,35.3479025,-77.96257772
AF Reserve,Westover ARB,N/A,Massachusetts,United States,Active,11.89019596,3.73008144,26639.53755,17615126.36,42.1990994,-72.53649841
AF Active,Eareckson AS,N/A,Alaska,United States,Active,16.96804743,5.45947725,46094.5991,38473957.12,52.72103691,174.1071401
AF Guard,Cheyenne Regional Airport,N/A,Wyoming,United States,Active,1.61995915,0.10400657,3602.938479,475703.2474,41.16202525,-104.8212896
AF Guard,Fort Smith Map,N/A,Arkansas,United States,Active,1.74866712,0.18078243,3538.84306,705247.905,35.34146112,-94.3704265
AF Guard,Memphis IAP,N/A,Tennessee,United States,Active,1.97503922,0.18570996,3966.440944,718910.1254,35.02549796,-89.96654995
AF Guard,Springfield Beckley,N/A,Ohio,United States,Active,2.73583697,0.20672733,5951.798198,909496.729,39.84907967,-83.8354792
AF Guard,Birmingham Airport,N/A,Alabama,United States,Active,4.14696304,0.21035001,8237.093281,786832.2903,33.57102031,-86.7541411
Army Guard,NG Camp Navajo,N/A,Arizona,United States,Active,29.45875719,44.22871071,59818.71078,171922265.8,35.1948003,-111.8505946
Army Guard,NG HMO3 (Snake Creek TS),N/A,Florida,United States,Active,2.99821052,0.49819885,5452.574919,1602891.342,25.96242999,-80.30479648
Army Guard,NG CTC Fort Custer Trng Center,N/A,Michigan,United States,Active,17.68327225,11.7231836,39902.9176,55537276.33,42.29942618,-85.31771662
Army Guard,NG West Camp,N/A,South Dakota,United States,Active,5.04249235,1.19445672,11795.22372,5994844.407,44.07318994,-103.3068369
Navy Active,Naval Hospital,Joint Region Marianas,Guam,Guam,Active,2.30391754,0.18812341,3697.415747,518303.7595,13.47394778,144.7402459
AF Active,Brooks AFB,N/A,Texas,United States,Active,5.92450829,2.04262546,11220.13788,6986642.355,29.34277186,-98.43969921
AF Active,Dover AFB,N/A,Delaware,United States,Active,14.01473535,4.26336397,29883.14924,18373846.82,39.12654013,-75.46525624
Army Active,Fort Jackson,N/A,South Carolina,United States,Active,42.46091876,82.3615815,85486.84147,311440563.8,34.03983293,-80.82799127
Army Active,Fort Polk,N/A,Louisiana,United States,Active,332.7735108,375.4596365,641870.1609,1332109718,31.15835871,-93.12110741
Army Active,Hunt Stagefield AL,N/A,Alabama,United States,Active,1.92317563,0.20039693,3686.716052,714306.6365,31.38015909,-85.58011102
Army Active,Fort De Russy,N/A,Hawaii,United States,Active,1.50822926,0.11060108,2619.955063,331555.7328,21.2818165,-157.8338892
Army Active,Fort Detrick Forest Glen Annex,N/A,Maryland,United States,Active,2.20642048,0.19459995,4691.018899,835839.2523,39.00625323,-77.05497193
Navy Active,SDA Area,N/A,Virginia,United States,Active,1.49487142,0.14014529,3112.940966,568960.6466,36.92003666,-76.31662375
Navy Active,Redington Township,N/A,Maine,United States,Active,31.85232816,19.4922695,75463.6058,100931483.6,44.98880958,-70.45063157
Navy Active,Bratenahl,N/A,Ohio,United States,Active,1.17347686,0.04823925,2591.483332,223209.2995,41.54246137,-81.62616649
AF Active,Avon Park AF Range,N/A,Florida,United States,Active,75.6069703,166.278867,140435.2204,550940441.8,27.6469182,-81.27672749
AF Active,Langley AFB,N/A,Virginia,United States,Active,21.47567299,4.86093879,44715.70876,19819836.2,37.08557276,-76.3643682
AF Active,Charleston AFB,Joint Base Charleston,South Carolina,United States,Active,15.94819967,4.73353742,31349.76535,17438631.05,32.89940192,-80.05035517
AF Guard,McEntire Joint National Guard Base,N/A,South Carolina,United States,Active,11.15962031,3.73434117,22219.82164,14082551.16,33.92288689,-80.80068613
AF Guard,Schenectady ANG MAP,N/A,New York,United States,Active,2.44305308,0.19697492,5512.534444,949716.4786,42.85217989,-73.92280874
AF Guard,Tulsa IAP,N/A,Oklahoma,United States,Active,2.28947442,0.15614886,4689.619795,622596.1518,36.21702376,-95.8747751
AF Guard,Hulman Fld,N/A,Indiana,United States,Active,1.54130418,0.1084794,3298.488948,471872.3743,39.45399272,-87.2944487
AF Active,McConnell AFB,N/A,Kansas,United States,Active,15.32663449,4.14093277,32121.39956,17126535.58,37.62519059,-97.26028163
Army Guard,NG Grayling Airfield,N/A,Michigan,United States,Active,4.96602298,1.44081907,11533.4044,7382013.914,44.68164244,-84.7276787
Army Guard,NG Camp Ripley,N/A,Minnesota,United States,Active,91.52429311,82.43455153,218871.1822,445727233.3,46.21081888,-94.42526758
Army Guard,NG Knightstown,N/A,Indiana,United States,Active,3.98199214,0.60557005,8615.58977,2658222.83,39.7713455,-85.51686944
Army Guard,NG Camp Atterbury,N/A,Indiana,United States,Active,41.2768468,54.70204954,87810.88197,236892178.7,39.29758044,-86.04641698
Army Guard,NG Rio Rancho TS,N/A,New Mexico,United States,Active,1.84489447,0.18650518,3716.676301,728144.4722,35.37347884,-106.6520264
Army Guard,NG Sea Girt NJ NGTC,N/A,New Jersey,United States,Active,2.38799542,0.27220755,5174.588381,1207163.989,40.12382421,-74.03730776
Army Guard,NG Floyd Edsall Training Center,N/A,Nevada,United States,Active,8.56167604,2.61604132,17567.67082,10450125.11,36.29092009,-115.0412559
Army Guard,NG MTA Camp Santiago,N/A,Puerto Rico,Puerto Rico,Active,21.62267452,19.76454482,36468.64707,56921190.73,18.02877281,-66.2836075
Army Guard,NG TS Keaukaha Mil Res,N/A,Hawaii,United States,Active,6.70610147,0.78726665,11476.3215,2312582.022,19.70655317,-155.0384776
Navy Active,NAS Fort Worth JRB TX,N/A,Texas,United States,Active,10.22592192,2.68375937,19943.42828,9858359.027,32.7688101,-97.43365774
Navy Active,NOLF Santa Rosa,N/A,Florida,United States,Active,5.49460292,1.16497294,10526.92419,4086572.707,30.60930017,-86.93881109
Navy Active,Agana,Joint Region Marianas,Guam,Guam,Active,0.41211161,0.00928917,669.6426274,25592.65167,13.47301424,144.7648694
Navy Active,Barrigada - NAVBASE Guam,Joint Region Marianas,Guam,Guam,Active,9.41197726,2.13362333,15206.94428,5878539.367,13.47681444,144.8288056
Navy Active,NAVBASE Ventura Cty Point Mugu CA,N/A,California,United States,Active,15.12018715,6.98976662,30336.99019,26475819.95,34.11232679,-119.1100138
Navy Active,NAVSUPPFAC Beaufort SC,N/A,South Carolina,United States,Active,1.90957695,0.18869564,3709.750616,687351.9942,32.38904801,-80.68197544
Navy Active,Chesapeake Bay Detach,N/A,Maryland,United States,Active,2.53268077,0.27562962,5355.291313,1172456.247,38.65847307,-76.53201623
Navy Active,NAVPMOSSP Mtn View,N/A,California,United States,Active,1.08032422,0.07722918,2256.9778,317616.0903,37.41291456,-122.0283987
