COMPONENT,Site Name,Joint Base,State Terr,COUNTRY,Oper Stat,PERIMETER,AREA,Shape_Leng,Shape_Area,latitude,longitude
Army Active,Arlington National Cemetery,N/A,Virginia,United States,Active,5.87883889,0.9728508,12491.32133,4163569.171,38.87782158,-77.06903793
Army Reserve,Fort McCoy,N/A,Wisconsin,United States,Active,66.12012551,93.26753841,151522.7275,467471228.3,44.03353087,-90.67656365
Army Active,Fort Lesley J McNair,Joint Base Myer - Henderson Hall,District of Columbia,United States,Active,1.94102298,0.16844624,4083.442352,720694.9164,38.86716983,-77.01649401
Army Active,Helemano Military Reservation,N/A,Hawaii,United States,Active,2.83538388,0.44207169,4937.738477,1329789.341,21.53596379,-158.0194326
Army Active,USA Field Station Kunia,N/A,Hawaii,United States,Active,0.94787148,0.0492424,1649.443365,148005.9886,21.47681475,-158.0524242
MC Active,Twentynine Palms,N/A,California,United States,Active,186.6516596,1190.21534,376644.2301,4545646506,34.46194578,-116.210926
MC Active,MCB Quantico,N/A,Virginia,United States,Active,71.75051871,92.07653203,151866.3927,390519129.1,38.55205444,-77.45716165
Navy Active,St Juliens Creek East,N/A,Virginia,United States,Active,2.88709126,0.46936446,5913.015623,1899004.934,36.78794893,-76.31016381
Navy Active,Elizabeth Rvr Channel,N/A,Virginia,United States,Active,1.06628139,0.05748192,2184.631318,233040.5119,36.8663758,-76.33188476
Navy Active,Naval Support Activity Wash,N/A,District of Columbia,United States,Active,1.43172825,0.11862644,3066.233263,507639.4769,38.87405863,-76.99509632
Navy Active,Naval Support Activity Panama City,N/A,Florida,United States,Active,7.04826222,1.0245731,13404.78101,3562399.497,30.17262077,-85.75227871
AF Active,Nellis Annex,N/A,Nevada,United States,Active,0.64412064,0.02516764,1329.1438,100402.308,36.23844497,-115.1358348
AF Active,JB Andrews,Joint Base Andrews,Maryland,United States,Active,10.6363054,6.87972183,22642.68403,29383976.07,38.80516811,-76.8744693
AF Active,Schriever AFB,N/A,Colorado,United States,Active,11.66857618,8.47225658,24924.81467,36186097.04,38.80581148,-104.5199075
AF Active,Charleston Defense Fuel Support Point,Joint Base Charleston,South Carolina,United States,Active,1.37824709,0.06946084,2711.046893,255975.3731,32.91279689,-79.98326757
AF Active,Joint Base Charleston Short Stay,Joint Base Charleston,South Carolina,United States,Active,2.12930988,0.09612861,4222.517421,356998.0184,33.25594596,-79.98890008
AF Active,Maxwell AFB Gunter Annex,N/A,Alabama,United States,Active,6.02781658,0.59023271,11866.97005,2150856.986,32.40700038,-86.24623888
AF Guard,Alpena County Regional Airport,N/A,Michigan,United States,Active,5.81985922,0.85512122,13608.61401,4442562.661,45.08439363,-83.57005617
AF Guard,Forbes Field ANG,N/A,Kansas,United States,Active,2.61955479,0.27333547,5569.936849,1172504.252,38.96090258,-95.6812075
AF Guard,Kingsley Field Cantonement Site 1,N/A,Oregon,United States,Active,3.28800642,0.24886542,7368.159445,1173829.318,42.16041079,-121.7442164
AF Guard,Nashville IAP,N/A,Tennessee,United States,Active,1.5909501,0.13740321,3247.633587,546386.8255,36.1109974,-86.67497423
Army Guard,NG Fort Worth - Shoreview,N/A,Texas,United States,Active,1.80601272,0.12970376,3570.458284,476546.2052,32.7781877,-97.45854484
Army Guard,NG Muscatatuck Urban Training Center,N/A,Indiana,United States,Active,6.72174385,1.50150396,14469.19821,6457379.539,39.05134581,-85.52473869
Army Guard,NG MTA Ft Wm Henry Harrison,N/A,Montana,United States,Active,21.55054196,10.25194574,52091.06792,56277989.69,46.62614572,-112.1464441
Army Guard,NG Ayer,N/A,Massachusetts,United States,Active,1.38868892,0.10220823,3159.356269,488041.582,42.54894117,-71.58449778
Army Guard,NG Macon TS,N/A,Missouri,United States,Active,22.09688508,4.80757307,47526.63454,21043956.87,39.67329251,-92.50202763
Army Guard,NG Johnson City Gray,N/A,Tennessee,United States,Active,1.6389087,0.16765596,3378.829184,671956.4011,36.42133096,-82.4887633
Army Guard,NG Muskogee AFRC,N/A,Oklahoma,United States,Active,1.45846706,0.09100438,2941.400544,357820.7285,35.66037046,-95.37353095
Army Guard,NG Fort Pickett ARNG MTC,N/A,Virginia,United States,Active,64.16128108,64.30688439,133022.2547,261868638.2,37.03675273,-77.90931728
Navy Active,NOLF Choctaw,N/A,Florida,United States,Active,7.86917189,2.26449666,14973.62363,7926900.28,30.50640325,-86.95670876
Navy Active,NOLF Evergreen,N/A,Alabama,United States,Active,6.50657585,0.69424386,12591.25426,2476463.63,31.41566444,-87.04393936
Navy Active,NAWS China Lake,N/A,California,United States,Active,178.2997675,957.4671923,363239.2109,3790541155,35.93426943,-117.6439113
Army Active,Fort Hood,N/A,Texas,United States,Active,160.7433815,342.6954915,310088.3283,1217315386,31.21568536,-97.73703192
AF Active,Air Force Plant 6,N/A,Georgia,United States,Active,7.6527283,1.18394937,15268.25296,4464703.644,33.92233424,-84.52705445
Navy Active,Subase Kings Bay GA,N/A,Georgia,United States,Active,25.59655739,22.11571068,48884.2153,77872711.71,30.79345873,-81.53332594
Navy Active,NAS Fallon NV,N/A,Nevada,United States,Active,22.06630679,13.30250948,47361.10842,57812079.73,39.42229683,-118.7045571
Army Active,Fort Leavenworth,N/A,Kansas,United States,Active,15.80601106,8.91071797,33845.98114,38661612.12,39.36416976,-94.91825122
Army Active,England Authority,N/A,Louisiana,United States,Active,6.03853789,0.59628627,11598.97348,2123404.833,31.33467326,-92.54034189
Army Active,Makua Mil Reserve,N/A,Hawaii,United States,Active,12.17198674,6.65575787,21198.94996,20019524.38,21.53022836,-158.2064724
Army Active,Blossom Point Research Facility,N/A,Maryland,United States,Active,6.95251054,2.47410056,14706.05265,10455705.72,38.42181905,-77.09225165
