Date of Flare,Date of Sighting,Flare occur on date of sighting ,,,,,,
10-Jun-11,02-Dec-08,No,,,,,,
14-Jun-11,03-Dec-08,No,,,,,,
15-Jun-11,04-Dec-08,No,,,,,,
16-Jun-11,05-Dec-08,No,,,,,,
17-Jun-11,06-Dec-08,No,,,,,,
21-Jun-11,07-Dec-08,No,,,,,,
8-Jul-11,08-Dec-08,No,,,,,,
27-Jul-11,09-Dec-08,No,,,,,,
28-Jul-11,10-Dec-08,No,,,,,,
29-Jul-11,11-Dec-08,Yes,,,,,,
30-Jul-11,12-Dec-08,No,,,,,,
31-Jul-11,01-Jan-09,No,,,,,,
1-Aug-11,02-Jan-09,No,,,,,,
2-Aug-11,03-Jan-09,No,,,,,,
3-Aug-11,04-Jan-09,No,,,,,,
4-Aug-11,05-Jan-09,No,,,,,,
5-Aug-11,06-Jan-09,No,,,,,,
6-Aug-11,07-Jan-09,No,,,,,,
7-Aug-11,08-Jan-09,No,,,,,,
8-Aug-11,09-Jan-09,No,,,,,,
9-Aug-11,10-Jan-09,No,,,,,,
10-Aug-11,11-Jan-09,No,,,,,,
11-Aug-11,12-Jan-09,No,,,,,,
17-Aug-11,01-Feb-09,No,,,,,,
18-Aug-11,02-Feb-09,No,,,,,,
20-Aug-11,03-Feb-09,No,,,,,,
29-Aug-11,04-Feb-09,No,,,,,,
30-Aug-11,05-Feb-09,No,,,,,,
3-Sep-11,06-Feb-09,No,,,,,,
4-Sep-11,07-Feb-09,No,,,,,,
5-Sep-11,08-Feb-09,No,,,,,,
6-Sep-11,09-Feb-09,No,,,,,,
7-Sep-11,10-Feb-09,No,,,,,,
8-Sep-11,11-Feb-09,No,,,,,,
11-Sep-11,12-Feb-09,No,,,,,,
12-Sep-11,01-Mar-09,No,,,,,,
13-Sep-11,02-Mar-09,No,,,,,,
14-Sep-11,03-Mar-09,No,,,,,,
15-Sep-11,04-Mar-09,No,,,,,,
16-Sep-11,05-Mar-09,No,,,,,,
18-Sep-11,06-Mar-09,No,,,,,,
19-Sep-11,07-Mar-09,No,,,,,,
20-Sep-11,08-Mar-09,No,,,,,,
21-Sep-11,09-Mar-09,No,,,,,,
22-Sep-11,10-Mar-09,No,,,,,,
23-Sep-11,11-Mar-09,No,,,,,,
24-Sep-11,12-Mar-09,No,,,,,,
25-Sep-11,01-Apr-09,No,,,,,,
26-Sep-11,02-Apr-09,No,,,,,,
27-Sep-11,03-Apr-09,No,,,,,,
28-Sep-11,04-Apr-09,No,,,,,,
29-Sep-11,05-Apr-09,No,,,,,,
30-Sep-11,06-Apr-09,No,,,,,,
1-Oct-11,07-Apr-09,No,,,,,,
2-Oct-11,08-Apr-09,No,,,,,,
3-Oct-11,09-Apr-09,No,,,,,,
4-Oct-11,10-Apr-09,No,,,,,,
5-Oct-11,11-Apr-09,No,,,,,,
7-Oct-11,12-Apr-09,No,,,,,,
10-Oct-11,01-May-09,No,,,,,,
12-Oct-11,02-May-09,No,,,,,,
14-Oct-11,03-May-09,No,,,,,,
15-Oct-11,04-May-09,No,,,,,,
16-Oct-11,05-May-09,No,,,,,,
17-Oct-11,06-May-09,No,,,,,,
19-Oct-11,07-May-09,No,,,,,,
20-Oct-11,08-May-09,No,,,,,,
29-Oct-11,09-May-09,No,,,,,,
30-Oct-11,10-May-09,No,,,,,,
31-Oct-11,11-May-09,No,,,,,,
1-Nov-11,12-May-09,No,,,,,,
2-Nov-11,01-Jun-09,No,,,,,,
3-Nov-11,02-Jun-09,No,,,,,,
4-Nov-11,03-Jun-09,No,,,,,,
5-Nov-11,04-Jun-09,No,,,,,,
6-Nov-11,05-Jun-09,No,,,,,,
7-Nov-11,06-Jun-09,No,,,,,,
8-Nov-11,07-Jun-09,No,,,,,,
9-Nov-11,08-Jun-09,No,,,,,,
10-Nov-11,09-Jun-09,No,,,,,,
12-Nov-11,10-Jun-09,No,,,,,,
14-Nov-11,11-Jun-09,No,,,,,,
15-Nov-11,12-Jun-09,No,,,,,,
16-Nov-11,01-Jul-09,No,,,,,,
17-Nov-11,02-Jul-09,No,,,,,,
18-Nov-11,03-Jul-09,No,,,,,,
19-Nov-11,04-Jul-09,No,,,,,,
20-Nov-11,05-Jul-09,No,,,,,,
21-Nov-11,06-Jul-09,Yes,,,,,,
22-Nov-11,07-Jul-09,No,,,,,,
23-Nov-11,08-Jul-09,No,,,,,,
28-Nov-11,09-Jul-09,No,,,,,,
29-Nov-11,10-Jul-09,No,,,,,,
4-Dec-11,11-Jul-09,No,,,,,,
5-Dec-11,12-Jul-09,No,,,,,,
7-Dec-11,01-Aug-09,No,,,,,,
10-Dec-11,02-Aug-09,No,,,,,,
12-Dec-11,03-Aug-09,No,,,,,,
13-Dec-11,04-Aug-09,No,,,,,,
14-Dec-11,05-Aug-09,No,,,,,,
17-Dec-11,06-Aug-09,No,,,,,,
18-Dec-11,07-Aug-09,No,,,,,,
20-Dec-11,08-Aug-09,No,,,,,,
21-Dec-11,09-Aug-09,No,,,,,,
23-Dec-11,10-Aug-09,No,,,,,,
24-Dec-11,11-Aug-09,No,,,,,,
25-Dec-11,12-Aug-09,No,,,,,,
26-Dec-11,01-Sep-09,No,,,,,,
27-Dec-11,02-Sep-09,No,,,,,,
28-Dec-11,03-Sep-09,No,,,,,,
29-Dec-11,04-Sep-09,No,,,,,,
30-Dec-11,05-Sep-09,No,,,,,,
31-Dec-11,06-Sep-09,No,,,,,,
2-Jan-12,07-Sep-09,No,,,,,,
6-Jan-12,08-Sep-09,No,,,,,,
8-Jan-12,09-Sep-09,No,,,,,,
12-Jan-12,10-Sep-09,No,,,,,,
14-Jan-12,11-Sep-09,No,,,,,,
15-Jan-12,12-Sep-09,No,,,,,,
16-Jan-12,01-Oct-09,No,,,,,,
17-Jan-12,02-Oct-09,No,,,,,,
18-Jan-12,03-Oct-09,No,,,,,,
19-Jan-12,04-Oct-09,No,,,,,,
22-Jan-12,05-Oct-09,No,,,,,,
24-Jan-12,06-Oct-09,No,,,,,,
26-Jan-12,07-Oct-09,No,,,,,,
27-Jan-12,08-Oct-09,No,,,,,,
28-Jan-12,09-Oct-09,No,,,,,,
6-Feb-12,10-Oct-09,No,,,,,,
7-Feb-12,11-Oct-09,No,,,,,,
8-Feb-12,12-Oct-09,No,,,,,,
11-Feb-12,01-Nov-09,No,,,,,,
12-Feb-12,02-Nov-09,No,,,,,,
20-Feb-12,03-Nov-09,No,,,,,,
2-Mar-12,04-Nov-09,No,,,,,,
3-Mar-12,05-Nov-09,No,,,,,,
4-Mar-12,06-Nov-09,No,,,,,,
5-Mar-12,07-Nov-09,No,,,,,,
6-Mar-12,08-Nov-09,No,,,,,,
7-Mar-12,09-Nov-09,No,,,,,,
8-Mar-12,10-Nov-09,No,,,,,,
9-Mar-12,11-Nov-09,No,,,,,,
10-Mar-12,12-Nov-09,No,,,,,,
13-Mar-12,01-Dec-09,No,,,,,,
14-Mar-12,02-Dec-09,No,,,,,,
15-Mar-12,03-Dec-09,No,,,,,,
17-Mar-12,04-Dec-09,No,,,,,,
19-Mar-12,05-Dec-09,No,,,,,,
21-Mar-12,06-Dec-09,No,,,,,,
23-Mar-12,07-Dec-09,No,,,,,,
25-Mar-12,08-Dec-09,No,,,,,,
27-Mar-12,09-Dec-09,No,,,,,,
29-Mar-12,10-Dec-09,Yes,,,,,,
5-Apr-12,11-Dec-09,No,,,,,,
7-Apr-12,12-Dec-09,No,,,,,,
10-Apr-12,01-Jan-10,No,,,,,,
14-Apr-12,02-Jan-10,Yes,,,,,,
15-Apr-12,03-Jan-10,No,,,,,,
16-Apr-12,04-Jan-10,Yes,,,,,,
18-Apr-12,05-Jan-10,No,,,,,,
