year,sightings
1977,2
1978,1
1980,1
1982,1
1985,2
1991,1
1992,1
1993,1
1994,3
1997,1
1998,2
2000,6
2001,14
2002,6
2003,12
2004,15
2005,7
2006,14
2007,22
2008,15
2009,12
2010,4
2011,5
2012,26
2013,23
2014,13
